CaseName,TotalRunningTime,RunningTime_1,DSC_1,NSD_1,RunningTime_2,DSC_2,NSD_2,RunningTime_3,DSC_3,NSD_3,RunningTime_4,DSC_4,NSD_4,RunningTime_5,DSC_5,NSD_5,RunningTime_6,DSC_6,NSD_6,DSC_AUC,NSD_AUC,DSC_Final,NSD_Final,num_class,runtime_upperbound
CT_AbdomenAtlas_BDMAP_00000006.npz,48.63854503631592,3.927593231201172,0,0,8.815355062484741,0.00132786,0.0,8.981087446212769,0.001010102,0.0,8.575279235839844,0.0165099859017237,0.0,8.937161922454834,0.025681995631001,0.0,9.40206813812256,0.0105801696687456,0.0,0.049156098,0.0,0.0105801696687456,0.0,10.0,900.0
CT_AbdomenAtlas_BDMAP_00000008.npz,37.268701791763306,3.842663288116455,0,0,6.439328432,0.002335944,0.0,6.90846324,0.002246603,0.0,6.662012338638306,0.0211816061170479,0.0,6.681192636489868,0.018086299,0.0,6.735041856765747,0.043193339,0.0,0.064279149,0.0,0.043193339,0.0,11.0,990.0
CT_AbdomenAtlas_BDMAP_00000211.npz,64.80952858924866,4.899010419845581,0,0,11.952118635177612,0.000168085,0.0,11.87425446510315,0.001355916,0.0,12.38891577720642,0.001893599,0.0,11.817139387130736,0.009837165,0.0,11.878089904785156,0.0171937629881346,0.0,0.0217676031906101,0.0,0.0171937629881346,0.0,10.0,900.0
CT_AbdomenAtlas_BDMAP_00000454.npz,51.93109631538391,3.995284080505371,0,0,9.235132455825806,0.001756554,0.0,9.708459615707396,0.0119502792658779,0.0,10.012728691101074,0.0104999870729471,0.0,9.37261128425598,0.014875011,0.0,9.60688018798828,0.0144624262732353,0.0,0.045434767,0.0,0.0144624262732353,0.0,11.0,990.0
CT_AbdomenAtlas_BDMAP_00000491.npz,40.40059804916382,3.874556303024292,0,0,7.201906681060791,6.42310951477536e-05,0.0,7.298282861709595,0.000153214,0.0,7.276105880737305,0.001273785,0.0,7.715851545333862,0.002898506,0.0,7.033894777297974,0.004179392,0.0,0.006447316,0.0,0.004179392,0.0,12.0,1080.0
CT_AbdomenAtlas_BDMAP_00000514.npz,36.21604442596436,3.914613723754883,0,0,6.351476430892944,0.006578354,0.0,6.165509462356567,0.005282196,0.0,6.383724451065064,0.006166834,0.0,6.624498367,0.0312065966873393,0.0,6.776221990585327,0.0269217833887928,0.0,0.059405695,0.0,0.0269217833887928,0.0,10.0,900.0
CT_AbdomenAtlas_BDMAP_00000524.npz,48.07872462272644,4.225233316421509,0,0,9.096624136,5.8549700585497e-05,0.0,8.543614625930786,0.003462614,0.0,8.903929233551025,0.006633388,0.0,8.801871299743652,0.007832112,0.0,8.507452011108398,0.006603626,0.0,0.0212592017034544,0.0,0.006603626,0.0,12.0,1080.0
CT_AbdomenAtlas_BDMAP_00000564.npz,42.95404839515686,3.561350107192993,0,0,7.906730651855469,0.001812886,0.0,7.850992202758789,0.005909591,0.0,7.976949214935303,0.006485961,0.0,7.719101667404175,0.005735212,0.0,7.938924551010132,0.00858276,0.0,0.0233285866218954,0.0,0.00858276,0.0,9.0,810.0
CT_AbdomenAtlas_BDMAP_00000597.npz,33.72873044013977,3.2298855781555176,0,0,5.918113946914673,0.001292927,0.0,5.937366724014282,0.009346309,0.0,6.058732032775879,0.006480321,0.0,6.363889694213867,0.003884182,0.0,6.220742464065552,0.003218813,0.0,0.021966680996605,0.0,0.003218813,0.0,10.0,900.0
CT_AbdomenAtlas_BDMAP_00000614.npz,34.58298063278198,3.136368513,0,0,5.717341661453247,0.0104564260224457,0.0,6.1884753704071045,0.0156648076128468,0.0,6.036981821060181,0.0205936697424125,0.0,6.8531365394592285,0.0397194886975583,0.0,6.650676727294922,0.041141671,0.0,0.1017770147337655,0.0,0.041141671,0.0,8.0,720.0
